from,to,active,date,country_from,city_from,country_to,city_to,cum_case
BRU,LYS,0,,Belgium,Brussels,France,Lyon,38496.0
BRU,PRN,0,,Belgium,Brussels,Kosovo,Pristina,38496.0
BRU,IAD,0,,Belgium,Brussels,United States,Washington,38496.0
BRU,NAP,0,,Belgium,Brussels,Italy,Naples,38496.0
BRU,HAJ,0,,Belgium,Brussels,Germany,Hanover,38496.0
BRU,BLQ,0,,Belgium,Brussels,Italy,Bologna,38496.0
BRU,TFS,0,,Belgium,Brussels,Spain,Tenerife,38496.0
BRU,HER,0,,Belgium,Brussels,Greece,Heraklion,38496.0
BRU,SKG,0,,Belgium,Brussels,Greece,Thessaloniki,38496.0
BRU,MAH,0,,Belgium,Brussels,Spain,Menorca,38496.0
BRU,AUH,0,,Belgium,Brussels,United Arab Emirates,Abu,38496.0
BRU,CTA,0,,Belgium,Brussels,Italy,Catania,38496.0
BRU,PUJ,0,,Belgium,Brussels,Dominican Republic,Punta,38496.0
BRU,VIE,0,,Belgium,Brussels,Austria,Vienna,38496.0
BRU,ORN,0,,Belgium,Brussels,Algeria,Oran,38496.0
BRU,IBZ,0,,Belgium,Brussels,Spain,Ibiza,38496.0
BRU,BHX,0,,Belgium,Brussels,United Kingdom,Birmingham,38496.0
BRU,LAD,0,,Belgium,Brussels,Angola,Luanda,38496.0
BRU,SAW,0,,Belgium,Brussels,Turkey,Istanbul,38496.0
BRU,GVA,0,,Belgium,Brussels,Switzerland,Geneva,38496.0
BRU,LIN,0,,Belgium,Brussels,Italy,Milan,38496.0
BRU,OSL,0,,Belgium,Brussels,Norway,Oslo,38496.0
BRU,KGL,0,,Belgium,Brussels,Rwanda,Kigali,38496.0
BRU,AHU,0,,Belgium,Brussels,Morocco,Al,38496.0
BRU,RIX,0,,Belgium,Brussels,Latvia,Riga,38496.0
BRU,CHQ,0,,Belgium,Brussels,Greece,Chania,38496.0
BRU,SDQ,0,,Belgium,Brussels,Dominican Republic,Santo,38496.0
BRU,SCQ,0,,Belgium,Brussels,Spain,Santiago,38496.0
BRU,SXF,0,,Belgium,Brussels,Germany,Berlin,38496.0
BRU,MIR,0,,Belgium,Brussels,Tunisia,Monastir,38496.0
CRL,LJU,0,,Belgium,Brussels,Slovenia,Ljubljana,38496.0
CRL,BCN,0,,Belgium,Brussels,Spain,Barcelona,38496.0
CRL,PSA,0,,Belgium,Brussels,Italy,Pisa,38496.0
CRL,GLA,0,,Belgium,Brussels,United Kingdom,Glasgow,38496.0
CRL,GRO,0,,Belgium,Brussels,Spain,Gerona,38496.0
CRL,WAW,0,,Belgium,Brussels,Poland,Warsaw,38496.0
CRL,TLN,0,,Belgium,Brussels,France,Hyeres,38496.0
CRL,PMO,0,,Belgium,Brussels,Italy,Palermo,38496.0
CRL,PUY,0,,Belgium,Brussels,Croatia,Pula,38496.0
CRL,PTP,0,,Belgium,Brussels,Guadeloupe,Pointe-A-Pitre,38496.0
