from,to,active
HRG,OSR,0
HRG,IST,0
HRG,LUX,0
HRG,DXB,0
HRG,CWL,0
HRG,HEL,0
HRG,MXP,0
HRG,NAP,0
HRG,BRQ,0
HRG,STN,0
HRG,SAW,0
HRG,PRG,0
HRG,EVN,0
HRG,RUH,0
HRG,VCE,0
HRG,AMM,0
HRG,DSA,0
LXR,LYS,1
LXR,FRA,1
LXR,KWI,1
LXR,JED,1
LXR,LHR,0
LXR,IST,0
RMF,PRG,1
RMF,TXL,1
RMF,CGN,1
RMF,DUS,1
RMF,FRA,1
RMF,HAJ,1
RMF,LEJ,1
RMF,NUE,1
RMF,STR,1
RMF,MXP,1
RMF,FCO,1
RMF,ZRH,1
RMF,BHX,1
RMF,LGW,1
RMF,MAN,1
RMF,OSR,0
RMF,MUC,0
RMF,LUX,0
RMF,BRQ,0
RMF,BLQ,0
RMF,GVA,0
RMF,BRU,0
RMF,VRN,0
RMF,VCE,0
MUH,MXP,0
SSH,BAH,1
SSH,BRU,1
SSH,OST,1
SSH,SOF,1
SSH,SXF,1
SSH,BRI,1
SSH,BLQ,1
SSH,CTA,1
SSH,BGY,1
SSH,MXP,1
SSH,NAP,1
SSH,AMM,1
SSH,KWI,1
SSH,FRU,1
SSH,ZRH,1
SSH,BHX,1
SSH,LGW,1
SSH,MAN,1
SSH,TAS,1
SSH,GYD,0
SSH,BEY,0
SSH,MED,0
SSH,IST,0
SSH,DMM,0
SSH,TSE,0
SSH,ALA,0
SSH,JED,0
SSH,SAW,0
SSH,EVN,0
SSH,FCO,0
SSH,RUH,0
SSH,BRS,0
SSH,TBS,0
SSH,VRN,0
SSH,VCE,0
HMB,AMM,1
HMB,KWI,1
HMB,JED,1
HMB,MED,1
HMB,RUH,1
HMB,SHJ,1
SSG,COO,1
SSG,DLA,1
SSG,BZV,1
SSG,LBV,1
SSG,PHC,1
SSG,TMS,1
SSG,MAD,1
SSG,LFW,1
SSG,LOS,0
SSG,CMN,0
SSG,ADD,0
SSG,IST,0
ASM,CAI,1
ASM,ADD,1
ASM,KRT,1
ASM,SHJ,1
ASM,DXB,0
ASM,IST,0
SHO,JNB,1
ADD,LAD,1
ADD,VIE,1
ADD,BAH,1
ADD,BRU,1
ADD,COO,1
ADD,GRU,1
ADD,BJM,1
ADD,DLA,1
ADD,NSI,1
ADD,NDJ,1
ADD,PEK,1
ADD,CTU,1
ADD,CAN,1
ADD,PVG,1
ADD,BZV,1
ADD,ABJ,1
ADD,FIH,1
ADD,FBM,1
ADD,JIB,1
ADD,CAI,1
ADD,ASM,1
ADD,CDG,1
ADD,LBV,1
ADD,FRA,1
ADD,ACC,1
ADD,ATH,1
ADD,HKG,1
ADD,BLR,1
ADD,DEL,1
ADD,BOM,1
ADD,DUB,1
ADD,TLV,1
ADD,FCO,1
ADD,MBA,1
ADD,NBO,1
ADD,KWI,1
ADD,BEY,1
ADD,TNR,1
ADD,BLZ,1
ADD,LLW,1
ADD,BKO,1
ADD,MPM,1
ADD,NIM,1
ADD,ABV,1
ADD,ENU,1
ADD,KAN,1
ADD,LOS,1
ADD,PHC,1
ADD,MCT,1
ADD,DOH,1
ADD,KGL,1
ADD,DMM,1
ADD,JED,1
ADD,MED,1
ADD,RUH,1
ADD,SEZ,1
ADD,GGR,1
ADD,HGA,1
ADD,MGQ,1
ADD,CPT,1
ADD,JNB,1
ADD,ICN,1
ADD,JUB,1
ADD,KRT,1
ADD,ARN,1
ADD,DAR,1
ADD,JRO,1
ADD,ZNZ,1
ADD,BKK,1
ADD,LFW,1
ADD,IST,1
ADD,EBB,1
ADD,DXB,1
ADD,LHR,1
ADD,LUN,1
ADD,NLA,1
ADD,HRE,1
ADD,VFA,1
ADD,MAN,0
ADD,MRS,0
ADD,NOS,0
ADD,BSA,0
ADD,WDH,0
ADD,MAA,0
ADD,HAH,0
ADD,SSG,0
ADD,SIN,0
ADD,MXP,0
ADD,MNL,0
ADD,GVA,0
DIR,JIB,1
LBV,LAD,1
LBV,COO,1
LBV,DLA,1
LBV,NSI,1
LBV,BZV,1
LBV,PNR,1
LBV,ABJ,1
LBV,SSG,1
LBV,ADD,1
LBV,CDG,1
LBV,CMN,1
LBV,TMS,1
LBV,LFW,1
LBV,NDJ,0
LBV,IST,0
LBV,LOS,0
LBV,JNB,0
LBV,FIH,0
POG,PNR,1
BJL,SID,1
BJL,OXB,1
BJL,DSS,1
BJL,FNA,1
BJL,IST,0
BJL,CMN,0
BJL,ACC,0
BJL,LIS,0
BJL,BCN,0
BJL,ROB,0
BJL,CKY,0
BJL,BRU,0
BJL,LPA,0
ACC,BRU,1
ACC,OUA,1
ACC,ABJ,1
ACC,CAI,1
ACC,ADD,1
ACC,CDG,1
ACC,NBO,1
ACC,BEY,1
ACC,ROB,1
ACC,CMN,1
ACC,AMS,1
ACC,ABV,1
ACC,LOS,1
ACC,DSS,1
ACC,FNA,1
ACC,JNB,1
ACC,LFW,1
ACC,IST,1
ACC,LHR,1
ACC,JFK,1
ACC,IAD,1
ACC,KGL,0
ACC,TMS,0
ACC,DXB,0
ACC,BJL,0
ACC,LIS,0
CKY,ABJ,1
CKY,CDG,1
CKY,NKC,1
CKY,DSS,1
CKY,TUN,1
CKY,OUA,0
CKY,CMN,0
CKY,BKO,0
CKY,LIS,0
CKY,BJL,0
CKY,IST,0
OXB,BJL,1
OXB,LIS,1
OXB,DSS,1
OXB,CMN,0
OXB,RAI,0
MBA,ADD,1
MBA,FRA,1
MBA,DOH,1
MBA,ZNZ,1
MBA,EBB,1
MBA,IST,0
MBA,MXP,0
MBA,FCO,0
MBA,BRU,0
NBO,BJM,1
NBO,BGF,1
NBO,HAH,1
NBO,FBM,1
NBO,JIB,1
NBO,ADD,1
NBO,CDG,1
NBO,FRA,1
NBO,ACC,1
NBO,BOM,1
NBO,LLW,1
NBO,MRU,1
NBO,DZA,1
NBO,MPM,1
NBO,AMS,1
NBO,LOS,1
NBO,MCT,1
NBO,DOH,1
NBO,KGL,1
NBO,JED,1
NBO,SEZ,1
NBO,GLK,1
NBO,GGR,1
NBO,MGQ,1
NBO,CPT,1
NBO,JNB,1
NBO,JUB,1
NBO,KRT,1
NBO,DAR,1
NBO,JRO,1
NBO,ZNZ,1
NBO,IST,1
NBO,EBB,1
NBO,AUH,1
NBO,DXB,1
NBO,SHJ,1
NBO,LHR,1
NBO,JFK,1
NBO,LVI,1
NBO,LUN,1
NBO,HRE,1
NBO,VFA,1
NBO,CAN,0
NBO,BKO,0
NBO,TNR,0
NBO,BZV,0
NBO,LAD,0
NBO,BLZ,0
NBO,BKK,0
NBO,ABJ,0
NBO,DLA,0
NBO,CSX,0
NBO,FIH,0
NBO,NLA,0
NBO,GVA,0
NBO,CAI,0
MSU,JNB,1
ROB,ABJ,1
ROB,BJL,1
ROB,ACC,1
ROB,CMN,1
ROB,FNA,1
ROB,BKO,0
ROB,CDG,0
ROB,BRU,0
BEN,HBE,1
BEN,AMM,1
BEN,TUN,1
TIP,HBE,1
TIP,AMM,1
TIP,NIM,1
TIP,KRT,1
TIP,SFA,1
TIP,TUN,1
TIP,IST,1
MJI,MIR,1
MJI,SFA,1
MJI,TUN,1
MJI,IST,1
TNR,ADD,1
TNR,CDG,1
TNR,NBO,1
TNR,MRU,1
TNR,DZA,1
TNR,JNB,0
TNR,RUN,0
TNR,MRS,0
TNR,HAH,0
DIE,DZA,1
MJN,HAH,1
MJN,DZA,1
NOS,DZA,1
NOS,MRU,0
NOS,JNB,0
NOS,MBA,0
NOS,ZNZ,0
NOS,HAH,0
NOS,BEW,0
NOS,ADD,0
NOS,MXP,0
NOS,FCO,0
NOS,RUN,0
TMM,RUN,1
FTU,RUN,0
TLE,RUN,0
BLZ,ADD,1
BLZ,BEW,1
BLZ,JNB,1
BLZ,DAR,1
BLZ,NBO,0
LLW,ADD,1
LLW,NBO,1
LLW,CMK,1
LLW,APL,1
LLW,JNB,1
LLW,LUN,1
LLW,HRE,1
BKO,ALG,1
BKO,COO,1
BKO,OUA,1
BKO,ABJ,1
BKO,CDG,1
BKO,NKC,1
BKO,CMN,1
BKO,NIM,1
BKO,DSS,1
BKO,TUN,1
BKO,NBO,0
BKO,ROB,0
BKO,IST,0
BKO,LFW,0
BKO,ADD,0
BKO,CKY,0
NKC,ALG,1
NKC,CDG,1
