country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,population,case_ratio,death_ratio
Peru,-689.250000000001,-5626.139999999993,1711156,99483.0,47893.0,2914.0,548215.0,36524.0,32971854.0,0.0030172097692777603,8.837840905155046e-05
Philippines,1443.0,13542.0,382024,12942.0,24453.0,837.0,50193.0,2843.0,109581078.0,0.0001181043318445909,7.638180014983973e-06
Poland,3997.7938000000086,1474.172699999998,557885,19268.0,24815.0,948.0,138865.0,7903.0,37846611.0,0.0005091076714900576,2.5048477920519753e-05
Portugal,3112.5920999999944,-649.7355,1099275,29432.0,40348.0,1247.0,75703.0,6431.0,10196709.0,0.0028864214914831833,0.00012229435987630912
Qatar,2053.738800000002,4145.8959,612053,35606.0,473.0,15.0,70467.0,5634.0,2881053.0,0.012358675803603753,5.206429732462402e-06
Romania,3859.2288000000053,2097.2111999999975,525280,17191.0,30084.0,1137.0,186633.0,10166.0,19237691.0,0.0008936103610355317,5.910272703725203e-05
Russia,6600.0,9900.0,5110203,299941.0,47069.0,2837.0,837363.0,76130.0,145934462.0,0.0020553130212656694,1.94402333836678e-05
Rwanda,-130.0000999999998,2001.5513000000024,10123,308.0,0.0,0.0,4370.0,209.0,12952218.0,2.3779710934451534e-05,0.0
St. Kitts and Nevis,972.0380319999986,-3515.847888000002,695,15.0,0.0,0.0,260.0,15.0,53199.0,0.0002819601872215643,0.0
St. Lucia,931.9298000000002,-4085.586300000003,848,18.0,0.0,0.0,569.0,18.0,183627.0,9.802480027446944e-05,0.0
St. Vincent and the Grenadines,869.9480999999993,-4106.2424000000065,667,17.0,0.0,0.0,281.0,14.0,11094.0,0.0015323598341445827,0.0
San Marino,3647.219199999995,1033.997400000001,27374,655.0,2191.0,41.0,4261.0,211.0,33931.0,0.019303881406383543,0.001208334561315611
Sao Tome and Principe,8.199839999999995,290.97556399999996,3421,251.0,90.0,8.0,88.0,4.0,219159.0,0.001145287211567857,3.650317805793967e-05
Saudi Arabia,1896.0,3555.0,1035902,59854.0,7218.0,329.0,302349.0,31634.0,34813871.0,0.0017192572466302296,9.450256192423991e-06
Senegal,1145.2945999999993,-1141.7395999999999,47764,2617.0,453.0,30.0,18848.0,1133.0,16743927.0,0.000156295473576778,1.7916943856718917e-06
Serbia,3301.2375000000034,1575.4425000000028,346639,10733.0,7168.0,234.0,72092.0,4904.0,8737371.0,0.0012284015409211764,2.678151128068157e-05
Seychelles,-313.5331999999997,3717.964000000005,645,11.0,0.0,0.0,244.0,11.0,98347.0,0.0001118488616836304,0.0
Sierra Leone,423.02775,-588.9944500000007,7192,534.0,398.0,33.0,1554.0,167.0,7976983.0,6.69426022344538e-05,4.136902385275235e-06
Singapore,151.42939999999973,12252.329400000013,641114,28794.0,687.0,22.0,105379.0,10365.0,5850342.0,0.004921763548182311,3.760463918177775e-06
Slovakia,3650.1749999999975,1477.4250000000006,59321,1495.0,760.0,28.0,22856.0,1192.0,5459642.0,0.0002738274780654116,5.128541395205033e-06
Slovenia,3507.491199999994,1139.6579999999997,72845,1467.0,3735.0,104.0,11812.0,1338.0,2078938.0,0.0007056487495057573,5.0025541887252046e-05
Somalia,334.88650000000007,3002.973999999997,25489,1502.0,1125.0,59.0,2215.0,178.0,15893222.0,9.45056955726158e-05,3.712274326753883e-06
South Africa,-2322.5220000000004,1743.25,300291,17200.0,5142.0,312.0,108316.0,7960.0,59308690.0,0.0002900080915629733,5.260611893467888e-06
South Sudan,309.4650000000002,1408.8150000000005,3015,290.0,20.0,4.0,35.0,4.0,11193725.0,2.5907372210769873e-05,3.5734306497613617e-07
Spain,4360.0,-436.0,10248242,232037.0,1106173.0,27778.0,4567263.0,150376.0,46754778.0,0.004962851069467168,0.0005941210970994237
Sri Lanka,798.0,9234.0,26866,1027.0,363.0,9.0,8795.0,569.0,21413249.0,4.796096099195409e-05,4.2030053449618973e-07
Sudan,874.6703999999996,2054.7967999999973,30341,2728.0,1636.0,111.0,3011.0,286.0,43849260.0,6.221313655008089e-05,2.5313996176902414e-06
Suriname,262.59309999999965,-3753.8625999999963,580,11.0,47.0,1.0,305.0,9.0,586632.0,1.8751108020019366e-05,1.704646183638124e-06
Sweden,6930.0,1760.0,920625,30799.0,101508.0,3743.0,95440.0,4971.0,10099265.0,0.003049627868958781,0.0003706210303423071
