date,country,lat,long,cum_case,new_case,cum_death,new_death,cum_cured,new_cured,age,age_diff_kor,cfr_adj,cum_case_adj,cum_case_diff
2020-05-19,Poland,51.9194,19.1451,19268,383.0,948.0,12.0,7903.0,275.0,68.90908874227554,0.5507942364966425,0.02441335145180156,38831.0,19563.0
2020-05-19,Portugal,39.3999,-8.2245,29432,223.0,1247.0,16.0,6431.0,1.0,70.51623788628636,2.1579433805074615,0.02657545132155069,46923.0,17491.0
2020-05-19,Qatar,25.3548,51.1839,35606,1637.0,15.0,0.0,5634.0,735.0,64.11189724398706,-4.2463972617918415,0.017959683382311346,35606.0,0.0
2020-05-19,Romania,45.9432,24.9668,17191,155.0,1137.0,17.0,10166.0,236.0,69.13898658773887,0.7806920819599696,0.024722633327465816,45990.0,28799.0
2020-05-19,Russia,60.0,90.0,299941,9263.0,2837.0,115.0,76130.0,5921.0,68.31315283482093,-0.04514167095797461,0.02361163808705999,299941.0,0.0
2020-05-19,Rwanda,-1.9403,29.8739,308,11.0,0.0,0.0,209.0,6.0,65.98501627584045,-2.3732782299384496,0.02047959289406203,308.0,0.0
2020-05-19,St. Kitts and Nevis,17.357822,-62.782998,15,0.0,0.0,0.0,15.0,1.0,,,,15.0,0.0
2020-05-19,St. Lucia,13.9094,-60.9789,18,0.0,0.0,0.0,18.0,0.0,68.59808980129543,0.23979529551652945,0.02399496416503915,18.0,0.0
2020-05-19,St. Vincent and the Grenadines,12.9843,-61.2872,17,0.0,0.0,0.0,14.0,0.0,68.15934909425853,-0.19894541152036993,0.02340472571139397,17.0,0.0
2020-05-19,San Marino,43.9424,12.4578,655,1.0,41.0,0.0,211.0,8.0,70.97451524939783,2.616220743618925,0.02719197246446062,1508.0,853.0
2020-05-19,Sao Tome and Principe,0.18636,6.613081,251,5.0,8.0,1.0,4.0,0.0,66.44347826086958,-1.9148162449093178,0.021096362409082064,379.0,128.0
2020-05-19,Saudi Arabia,24.0,45.0,59854,2509.0,329.0,9.0,31634.0,2886.0,66.15281365771085,-2.2054808480680492,0.020705330933893755,59854.0,0.0
2020-05-19,Senegal,14.4974,-14.4524,2617,73.0,30.0,4.0,1133.0,57.0,66.54918249321278,-1.8091120125661178,0.02123856645270356,2617.0,0.0
2020-05-19,Serbia,44.0165,21.0059,10733,34.0,234.0,3.0,4904.0,105.0,68.70697317342854,0.3486786676496365,0.024141445109626115,10733.0,0.0
2020-05-19,Seychelles,-4.6796,55.492,11,0.0,0.0,0.0,11.0,0.0,67.31759824643808,-1.0406962593408196,0.02227231718215696,11.0,0.0
2020-05-19,Sierra Leone,8.460555000000001,-11.779889,534,15.0,33.0,0.0,167.0,19.0,66.39035181539776,-1.9679426903811361,0.021024891331700785,1570.0,1036.0
2020-05-19,Singapore,1.2833,103.8333,28794,451.0,22.0,0.0,10365.0,530.0,66.80751242708679,-1.5507820786921087,0.021586098054523294,28794.0,0.0
2020-05-19,Slovakia,48.669,19.699,1495,0.0,28.0,0.0,1192.0,7.0,68.31020641481463,-0.04808809096427069,0.023607674264327305,1495.0,0.0
2020-05-19,Slovenia,46.1512,14.9955,1467,1.0,104.0,0.0,1338.0,3.0,69.60073797410847,1.2424434683295686,0.025343828078461163,4104.0,2637.0
2020-05-19,Somalia,5.1521,46.1996,1502,47.0,59.0,2.0,178.0,15.0,66.35033744453605,-2.0079570612428483,0.020971059945640188,2813.0,1311.0
2020-05-19,South Africa,-30.5595,22.9375,17200,767.0,312.0,26.0,7960.0,662.0,66.65116182597205,-1.707132679806847,0.02137575938398663,17200.0,0.0
2020-05-19,South Sudan,6.877000000000002,31.307,290,0.0,4.0,0.0,4.0,0.0,66.88760124783461,-1.4706932579442906,0.021693841651035488,290.0,0.0
2020-05-19,Spain,40.0,-4.0,232037,431.0,27778.0,69.0,0.0,0.0,70.71213776184159,2.3538432560626887,0.02683899568331714,1034987.0,802950.0
2020-05-19,Sri Lanka,7.0,81.0,1027,35.0,9.0,0.0,569.0,10.0,67.46472203578435,-0.8935724699945524,0.022470243010614125,1027.0,0.0
2020-05-19,Sudan,12.8628,30.2176,2728,137.0,111.0,6.0,286.0,39.0,66.77604335729423,-1.5822511484846729,0.02154376267329674,5152.0,2424.0
2020-05-19,Suriname,3.9193,-56.0278,11,0.0,1.0,0.0,9.0,0.0,67.5434905927957,-0.8148039129831943,0.022576210454574905,11.0,0.0
